,testability_meaning,bodyComment,codeComment,pr_group,ref_pattern,java_files_count,prod_file,prod_location,test_location,comment,url,relevance,bodyTestableText,java_files_count.1,prod_file.1,test_file,title,is_title_testable,java_files_count.2,Unnamed: 19,test_java_files_count,files_count
10,,,,incl_ref_for_test,override_system_time,2.0,core/src/main/java/com/linecorp/armeria/internal/common/util/HttpTimestampSupplier.java,https://github.com/line/armeria/pull/2530/files#diff-fac53cdceb44bf7eda8b5d68e1de65d97f982f6d408f55d675fd2365455d6852R66,https://github.com/line/armeria/pull/2530/files#diff-50ac3599aeb41c149b4516072dd427f4b59d579bb521bd81a403a840b7cba4a0R47,,https://github.com/line/armeria/pull/2530,relevant,Improve testability of HttpTimestampSupplier so that we do not need;to busy-loop while testing.;;,,,,Make `HttpTimestampSupplier` work with negative clock value,False,2.0,,1.0,2.0
11,,,inject request generator via constructor,incl_ref_for_test,add_constructor_param,1.0,fluxc/src/main/java/org/wordpress/android/fluxc/network/rest/wpcom/activity/ActivityLogRestClient.kt,https://github.com/wordpress-mobile/WordPress-FluxC-Android/pull/757/files#diff-0cc5f07d576dc8e227df12cf20f0c5fc594dbe33647d8befbb5df677ed240f4eR40,https://github.com/wordpress-mobile/WordPress-FluxC-Android/pull/757/files#diff-ac7880f66accf8df76c08dc88771b3c4ab6d6693e12846ab870437bac8738001R343,,https://github.com/wordpress-mobile/WordPress-FluxC-Android/pull/757,relevant,wrap static methods and parent class and inject them instead in order to make ActivityRestClient testable.,,,,Activity Log store - part 2 - Cleanup and test ActivityRestClient,False,1.0,,3.0,8.0
12,,,no obvious patterns and a lot of code,incl_ref_for_test,irrelevant,22.0,src/main/java/com/relayrides/pushy/apns/ApnsConnectionListener.java,https://github.com/jchambers/pushy/pull/47/files#diff-54e5fe37248c56104123e41b9fdd7fccb85e1c4cac849523141d900897aefec3R34,,,https://github.com/jchambers/pushy/pull/47,relevant,"This change is a bit of a monster, but I think it makes things much clearer and more testable.",,,,Threadless connections,False,22.0,,10.0,24.0
13,,,test removed because refactoring for testability changes necessary to decouple tests from prod classes,irrelevant,irrelevant,1.0,,,,,https://github.com/Alluxio/alluxio/pull/3780,likely irrelevant,"If we want to test the static methods of UnderFileSystemCluster, we need to redesign the class to be testable.",,,,[ALLUXIO-2119] Remove UnderFileSystemClusterTest,False,1.0,,1.0,1.0
14,testability_can_be_tested,,testable means the change can be tested,irrelevant,irrelevant,1.0,,,,,https://github.com/liquibase/liquibase/pull/590,likely irrelevant,This easily testable.,,,,Fix a NullPointerException in DiffToChangeLog.sortMissingObjects,False,1.0,,0.0,1.0
15,,,test methods annotated with @Test,irrelevant,irrelevant,2.0,,,,,https://github.com/edx/edx-app-android/pull/262,irrelevant,The ApiTests and SocialLoginTests classes were accidentally marked as ignored instead of testable.,,,,Revert ignoring of ApiTests and SocialLoginTests,False,2.0,,2.0,2.0
16,,,exit-code from execute provides status,irrelevant,irrelevant,1.0,,,,,https://github.com/wildfly/wildfly-core/pull/999,likely irrelevant,I have increased timeout for command execution and changed initial value of exitCode to non-zero for better testability.;,,,,[WFCORE-892] Increased timeout for CLI executor to avoid test errors,False,1.0,,0.0,1.0
17,,,extracted getSignalFromUrl method and tested,incl_ref_for_test,extract_method_for_invocation,3.0,AnkiDroid/src/main/java/com/ichi2/anki/AbstractFlashcardViewer.java,https://github.com/ankidroid/Anki-Android/pull/5815/files#diff-9111bfc45842d27abc69f185215cc459a0773bfa881ea4525017beabc3a6d70bR1487,https://github.com/ankidroid/Anki-Android/pull/5815/files#diff-76eaf6fee9aa0f3198591dcc660995763061eb0ac958576c81eb22dd509032c5R233,,https://github.com/ankidroid/Anki-Android/pull/5815,likely relevant,"Readers now see the ""What"", not the ""How"".;Testability, and allows us to store known good values to call URL parsing.;;;;",,,,Fix #5811 - Clicking hint field blocks key input,False,3.0,,1.0,4.0
18,,,ValidationFactory extracted,incl_ref_for_test,extract_class_for_invocation,22.0,dhis-2/dhis-services/dhis-service-dxf2/src/main/java/org/hisp/dhis/dxf2/metadata/objectbundle/DefaultObjectBundleValidationService.java,https://github.com/dhis2/dhis2-core/pull/4951/files#diff-994b1ca603b87580ab2f11f961071ba6b332ed08bfad51b9b285ea0e2356e516R94,,,https://github.com/dhis2/dhis2-core/pull/4951,relevant,"--;In this PR, I have refactored the Validation Service, with the following goals in mind:;;Make the validation rules more isolated and testable;Reduce the complexity of Validation Service;Reduce the amount of duplicated code;;",,,,2.33 pepfar bug validation refactor,False,22.0,,4.0,22.0
19,,,SchemaToDataFetcher extracted and replaces queryService,incl_ref_for_test,extract_class_for_invocation,25.0,dhis-2/dhis-services/dhis-service-core/src/main/java/org/hisp/dhis/preheat/DefaultPreheatService.java,https://github.com/dhis2/dhis2-core/pull/4952/files#diff-23c21b63421fc4b3248e36304acdf8f325b8d2ab1dcec5db5786a65a53871f22R249,,,https://github.com/dhis2/dhis2-core/pull/4952,relevant,"--;In this PR, I have refactored the Validation Service, with the following goals in mind:;;Make the validation rules more isolated and testable;Reduce the complexity of Validation Service;Reduce the amount of duplicated code;;",,,,2.33 pepfar bug validation refactor,False,25.0,,5.0,25.0
20,,,only new code added,irrelevant,irrelevant,2.0,,,,,https://github.com/broadinstitute/gatk/pull/522,relevant,"Since it's testable independently, I thought I'd check it in as a unit.",,,,"Dataflow merge of RecalibrationTables, and corresponding test",False,2.0,,1.0,2.0
21,,,no obvious patterns and a lot of code in Kotlin,incl_ref_for_test,other,2.0,,,,,https://github.com/wordpress-mobile/WordPress-FluxC-Android/pull/1193,relevant,The goal behind this refactor is to better organize the ListStore components while also making them more testable and less opinionated.,,,,ListStore Grand Refactor,False,2.0,,4.0,19.0
22,,,,irrelevant,irrelevant,6.0,,,,,https://github.com/palantir/atlasdb/pull/2680,irrelevant,"I'll admit tests are a bit thin on the ground here, because the memoizeWithExpiration timeouts aren't very testable.",,,,ScheduledRefreshingClient to dodge the OkHttp integer overflows,False,6.0,,1.0,7.0
23,,no tests,no tests: DynamicPropertyRepository extracted and can be overridden from tests,incl_ref_for_test,extract_class_for_override,21.0,ribbon-core/src/main/java/com/netflix/client/config/DynamicPropertyRepository.java,https://github.com/Netflix/ribbon/pull/400/files?diff=split&w=1#diff-0f99c60681a9626280fbb1bbae100ff8220141096e5c4a16e2a2e847d2ff9992R43,none,,https://github.com/Netflix/ribbon/pull/400,relevant,By decoupling from both archaius and statics users can now provide alternative configuration mechanisms as well as improve testability.;,,,,configuration: Decouple static archaius,False,21.0,,3.0,25.0
24,,no tests,"no tests: a few property getters extracted, not really refactoring for testability",incl_ref_for_test,irrelevant,39.0,ribbon-core/src/main/java/com/netflix/client/config/IClientConfig.java,https://github.com/Netflix/ribbon/pull/401/files#diff-1a007f86d9131a781c49e371e85c2f056e4de6207406908254414f9b80ecd8e5R116,no relevant tests,,https://github.com/Netflix/ribbon/pull/401,relevant,By decoupling from both Archaius and statics users can now provide alternative configuration mechanisms as well as improve testability.;,,,,configuration: Decouple static archaius,False,39.0,,9.0,53.0
25,,no tests,no tests: HazelcastThreadGroup likely extracted for override,incl_ref_for_test,extract_class_for_override,19.0,hazelcast/src/main/java/com/hazelcast/ascii/TextCommandServiceImpl.java,https://github.com/hazelcast/hazelcast/pull/4529/files?diff=split&w=1#diff-4db386f03e36e618f3db18f5f3325a5e673a47db7df0bc68f0928bd0a3654efbR215,none,,https://github.com/hazelcast/hazelcast/pull/4529,relevant,This is going to be the first PR of many where I'm going to remove the need of Node/NodeEngine inside components to improve testability and reduce tight coupling.;,,,,Pulled out HazelcastThreadGroup,False,19.0,,0.0,19.0
26,,,XPathParseTool created but not used,irrelevant,irrelevant,5.0,,,,,https://github.com/getodk/collect/pull/1484,relevant,These are all minor incidental refactors that were made in order to improve testability.;,,,,Minor refactors in preparation for larger Test PR.,False,5.0,,0.0,5.0
27,,,mostly go changes,irrelevant,irrelevant,1.0,,,,,https://github.com/googleapis/gapic-generator/pull/1279,relevant,"Since generated code should be testable from api-client-staging repo,;we want to reduce dependency on other cloud.google.com/go packages,;especially internal ones.;",,,,go: use time.UnixNano instead of testutil.UIDSpace,False,1.0,,1.0,3.0
28,,,testable in the future,irrelevant,irrelevant,7.0,,,,,https://github.com/ankidroid/Anki-Android/pull/6293,irrelevant,At some point in the future™️ we should move to a more self-contained and testable model.;,,,,Regression tests for CustomStudyDialog JSON output,False,7.0,,2.0,8.0
29,,,no refactoring,irrelevant,irrelevant,1.0,base/uk.ac.stfc.isis.ibex.ui.targets/src/uk/ac/stfc/isis/ibex/ui/targets/OpiTargetView.java,https://github.com/ISISComputingGroup/ibex_gui/pull/813/files#diff-a4cbc24eec086f4a74ac329d06c6d1b682750061678cc6bc7dc4f337fa3b9264R108,,,https://github.com/ISISComputingGroup/ibex_gui/pull/813,irrelevant,"Factoring that bit out into a testable class seems more trouble than it is worth - let me know if you disagree;System tests;None, OPI only;Documentation;",,,,Allow setting inst prefix as macro on mk3 chopper,False,1.0,,0.0,4.0
30,,,no testable logic added,irrelevant,irrelevant,4.0,,,,,https://github.com/ISISComputingGroup/ibex_gui/pull/855,irrelevant,No testable logic added;Documentation;Not required.;;,,,,Ticket3986,False,4.0,,0.0,4.0
31,,,"method extracted and can be overriden or invoked from tests, tests are missing though",only_ref_for_test,extract_method_for_override,1.0,core/src/org/pentaho/platform/engine/security/SecurityHelper.java,https://github.com/pentaho/pentaho-platform/pull/3114/files#diff-992e0fb275c19ad1ab3c606b96bd393b71e3adb8865b3020dc0e1d7b4b0f8d92R427,,,https://github.com/pentaho/pentaho-platform/pull/3114,relevant,- sanitized the fechting of IAuthorizationPolicy;- refactored the fetching of the object into a getter ( to make this a testable method ),,,,[CLEANUP] Refactor,False,1.0,,0.0,1.0
32,,,ValidationFactory and SchemaService extracted and tested separately,incl_ref_for_test,extract_class_for_invocation,25.0,dhis-2/dhis-services/dhis-service-dxf2/src/main/java/org/hisp/dhis/dxf2/metadata/objectbundle/DefaultObjectBundleValidationService.java,https://github.com/dhis2/dhis2-core/pull/5015/files?diff=split&w=1#diff-994b1ca603b87580ab2f11f961071ba6b332ed08bfad51b9b285ea0e2356e516R61,https://github.com/dhis2/dhis2-core/pull/5015/files?diff=split&w=1#diff-3b57e829cdc5588bf3172f2d8ac297055cd2eb468719dcc8939e426806bd8545R89,,https://github.com/dhis2/dhis2-core/pull/5014,relevant,"Force the query to be read-only to prevent Hibernate to syncronize the;data with the database;Refactored Metadata import validation into Validation Rules, in order;to improve testability and ""code-cleaness"";""forward-port"" from 2.33 c346476",,,,fix: fetch unique values during metadata import,False,25.0,,5.0,25.0
33,,,duplicate,irrelevant,irrelevant,25.0,,,,,https://github.com/dhis2/dhis2-core/pull/5015,relevant,"Force the query to be read-only to prevent Hibernate to syncronize the;data with the database;Refactored Metadata import validation into Validation Rules, in order;to improve testability and ""code-cleaness"";""forward-port"" from 2.33 c346476",,,,[2.34] fix: fetch unique values during metadata import,False,25.0,,5.0,25.0
34,,,stopwatch-related commit reverted,irrelevant,irrelevant,9.0,,,,,https://github.com/google/guice/pull/1372,relevant,845922e;; Rewrite the Guice Stopwatch class to make it testable.,,,,MOE Sync 2020-07-31,False,9.0,,2.0,9.0
35,,,stopwatch is rather irrelevant,irrelevant,irrelevant,10.0,,,,,https://github.com/google/guice/pull/1374,relevant,**;Rewrite the Guice Stopwatch class to make it testable.,,,,MOE Sync 2020-08-03,False,10.0,,2.0,10.0
36,,,"testable in future,",irrelevant,irrelevant,24.0,,,,,https://github.com/JetBrains/ideavim/pull/103,irrelevant,I'll add a unit-testable version of the modal dialog-based implementation;;;;Next steps:;;,,,,Framework for IdeaVim extensions + sketch of vim-surround port,False,24.0,,2.0,26.0
37,,,instantiate using remoteDriverManager instead of new concrete,only_ref_for_test,add_constructor_param,3.0,common/src/main/java/com/saucelabs/remotedriver/SauceSession.java,https://github.com/saucelabs/sauce-java/pull/96/files?diff=split&w=1#diff-5306856a3e69c3ec647eca09e368b0e301e6fd9adae3773834b5851b25e7cbf7R55,https://github.com/saucelabs/sauce-java/pull/96/files?diff=split&w=1#diff-dec3e0aeda8e1aaeefc65f02e06278dfe7efe0b10f94ff09c59bf8bcaeb5b8a6R72,,https://github.com/saucelabs/sauce-java/pull/96,relevant,Deleted the untestable method and replaced it with a testable one,,,,"Delete the old start() method that used concrete RemoteDriver, change…",False,3.0,,2.0,3.0
38,,,no refactoring/removed code/tests,irrelevant,irrelevant,2.0,lib/java/com/google/android/material/progressindicator/ProgressIndicator.java,https://github.com/material-components/material-components-android/pull/1411/files#diff-e8bc31e613e6eb70db8e2fb7805f9465754f9afed21a9643c037d7b98d4bd283R419,,,https://github.com/material-components/material-components-android/pull/1411,irrelevant,"If this part is testable I could add some tests, is there some code which I can take inspiration from?",,,,[ProgressIndicator] Add new minHideDelay property,False,2.0,,0.0,5.0
39,,,testable in future: example code,irrelevant,irrelevant,98.0,,,,,https://github.com/TestFX/TestFX/pull/615,likely irrelevant,"RenderCondition.getAsBoolean; Wiki/CodeExamples and use Platform independent/testable example code;;But first things first, let's see what travis says about flaky tests.;",,,,610 implement base test case,False,98.0,,72.0,100.0
40,,,ElasticsearchFacade extracted and mocked from junit,incl_ref_for_test,extract_class_for_override,30.0,molgenis-data-elasticsearch/src/main/java/org/molgenis/data/elasticsearch/ElasticsearchService.java,https://github.com/molgenis/molgenis/pull/4906/files#diff-fcb8859fb50fdb8094220ec2abf8a9d39bc2be5108298aea83a2a4dd322e7c60R84,https://github.com/molgenis/molgenis/pull/4906/files#diff-1ffe0b4310a673917dc714cb2bfb7f7942758b99269e44c93ce1012dc0c83073R44,,https://github.com/molgenis/molgenis/pull/4906,relevant,"Makes ElasticsearchService more testable and less tightly intertwined with the Client;Pulled the BulkProcessor out of the ElasticsearchService to a separate class, since it's now used by the ElasticsearchUtils;Removed the explicit setter for the static BulkProcessorFactory, made it a field and set it in the constructor.;",,,,"Clean up reindexer dependency injection, refactor ElasticsearchService, fix #4902",False,30.0,,8.0,30.0
41,,,"old toolbar class kept just to test it, irrelevant for us",irrelevant,irrelevant,10.0,,,,,https://github.com/jitsi/jitsi-meet-torture/pull/159,relevant,so it's testable.,,,,feat(toolbar): new page object for new toolbar,False,10.0,,10.0,10.0
42,,,WriteCoordinator injected from junits,incl_ref_for_test,add_constructor_param,2.0,splice_machine/src/main/java/com/splicemachine/derby/hbase/SpliceDriver.java,https://github.com/splicemachine/spliceengine/pull/6/files?diff=split&w=1#diff-f0f6bd137e8909752c1efcac249ce4e22beed343468f099acc505f89a5ec85b6R135,https://github.com/splicemachine/spliceengine/pull/6/files?diff=split&w=1#diff-7640f617b563e8d450d4a9b547d652dc23f0679c8e7c6139a290fb159108f1cfR64,,https://github.com/splicemachine/spliceengine/pull/6,relevant,"Besides cleaning up SpliceDriver quite a bit, and fixing the bug, I also made SpliceDriver more testable and created a unit test.  ",,,,Db 2476,False,2.0,,1.0,2.0
43,,,isActivityAvailable method extracted into ActivityAvailable and mocked in junit,only_ref_for_test,extract_class_for_override,17.0,collect_app/src/main/java/org/odk/collect/android/widgets/ExStringWidget.java,https://github.com/getodk/collect/pull/1581/files?diff=split&w=1#diff-6dea6b3a51c53ba53e3bd1fc5845bc24195cdecf2d72ac56dfcc2a76c526b444R155,https://github.com/getodk/collect/pull/1581/files?diff=split&w=1#diff-0d069a15315643fda966bba2c34be67f0c3a2bc515af3b1bbbb0c1da89644fdaR382,,https://github.com/getodk/collect/pull/1581,relevant,I've had to introduce some refactors into FormEntryActivity in order to make things more testable.,,,,All Widgets Test (partial) with some testability refactors.,True,17.0,,1.0,21.0
44,,,OneLoginClient extracted from OneLoginAuthConnector and mocked in the test,only_ref_for_test,extract_class_for_override,11.0,,https://github.com/Nike-Inc/cerberus/pull/23/files?diff=split&w=1#diff-302f0e708b2adb381afafd03d1e7090de98241d54c617ba38bd813d22e4c2f56R45,https://github.com/Nike-Inc/cerberus/pull/23/files?diff=split&w=1#diff-1451ab69a06229b2ebc2fd83622963bbf95bd6faa762b7c098286defd3a21076R40,,https://github.com/Nike-Inc/cerberus/pull/23,relevant,Refactoring OneLoginAuthConnector into two classes to make it more testable;Adding unit tests;Removing some unused code,,,,Adding unit tests and other clean-up,False,11.0,,5.0,11.0
45,,,CliArgumentParser extracted and tested separately,only_ref_for_test,extract_class_for_invocation,9.0,,https://github.com/jmxtrans/jmxtrans/pull/162/files?diff=split&w=1#diff-df308554b6ee700e4ba5838a8a33f750d380fcbfd7d2fb70752d834d2fccfad5R15,https://github.com/jmxtrans/jmxtrans/pull/162/files?diff=split&w=1#diff-479aac8789af5ab79c5475a00ce19fa36c24618d614a5f467dd706e02f8d057eR178,,https://github.com/jmxtrans/jmxtrans/pull/162,relevant,I also did some refactoring to improve testability and corrected minor errors in argument parsing.;,,,,Improve test coverage,False,9.0,,4.0,11.0
46,,,JmxTransConfiguration extracted from JmxTransformation and used in CliArgumentParser,only_ref_for_test,extract_class_for_invocation,4.0,,https://github.com/jmxtrans/jmxtrans/pull/162/files?diff=split&w=1#diff-4a0b0d2ad5de1f41821b41ff029c0098adbd9d2ab09785f482e21800eb517f45R5,https://github.com/jmxtrans/jmxtrans/pull/162/files?diff=split&w=1#diff-479aac8789af5ab79c5475a00ce19fa36c24618d614a5f467dd706e02f8d057eR178,,https://github.com/jmxtrans/jmxtrans/pull/241,relevant,Also extracted some of the parsing logic to make it testable.;;; ,,,,Fix wrong condition in JMXTransformer.processFilesIntoServers(). Fixes #240.,False,4.0,,1.0,4.0
47,,,only new code added,irrelevant,irrelevant,19.0,,,,,https://github.com/jmxtrans/jmxtrans/pull/460,likely relevant,Adding unit tests will probably push you to do some more refactoring to improve testability of current classes.,,,,Cluster,False,19.0,,7.0,26.0
48,,,constants made protected to use from unit-tests,incl_ref_for_test,widen_access_for_invocation,6.0,,https://github.com/signalapp/Signal-Android/pull/6476/files#diff-e1afa18bd149b8fc8093a3322665586fc77ee93311e36e86b329e89f41ccbb65R35,https://github.com/signalapp/Signal-Android/pull/6476/files#diff-def9eb8cef8fa5ae87c4a8a0d7f2dc71133b051e255526cbb69ef981006b563aR198,,https://github.com/signalapp/Signal-Android/pull/6476,likely irrelevant,"I believe that more refactoring should be done on the SaveAttachmentTask in order to make it testable: I would move the decryption logic out of it and make it get directly an InputStream, so that instrumented tests could try to write attachments on the sdcard without taking care of the encryption.",,,,"Refactor storage management to have a centralized, clearer way to get the Signal output directories",False,6.0,,1.0,6.0
49,,,Resolve class with resolveInternal method extracted and invoked from junit to verify invocations on dependencies,incl_ref_for_test,extract_class_for_invocation,2.0,,https://github.com/grpc/grpc-java/pull/4939/files#diff-d8dabcd5b612989a4dc4c057fecce2d9539bd1d9be9edec2c2cb5256f57014d6R206,https://github.com/grpc/grpc-java/pull/4939/files#diff-b7cadaed2e3da546fde8f7d79bd2b1b7153d3e4e22d0aa6a3a44a7f98b382af3R221,,https://github.com/grpc/grpc-java/pull/4939,relevant,Refactor the resolution runnable to be testable;,,,,core: make DnsNameResolver Error on empty addresses,False,2.0,,1.0,2.0
50,,,getAllRecords extracted into JndiRecordFetcher to override in junits using mock,incl_ref_for_test,extract_class_for_invocation,2.0,,https://github.com/grpc/grpc-java/pull/5006/files#diff-04abc8c0135b594f86ae12fbc34f5c60b08399875f259c7c006255aaf1e69c78R247,https://github.com/grpc/grpc-java/pull/5006/files#diff-1b21a6d89e9da16f5d9f75d17eb9e46b8773e0d9d4b8a6e7630565988b4b196dR81,,https://github.com/grpc/grpc-java/pull/5006,relevant,"This is fundamentally a 4 line change, but with more changes to make it testable.",,,,core: Trim trailing dot from SRV hostnames,False,2.0,,1.0,2.0
51,,,new code added,irrelevant,irrelevant,7.0,,,,,https://github.com/aerogear/aerogear-unifiedpush-server/pull/480,relevant,"The Java ADM connector is also managed by AeroGear [1], it's not yet on Maven Central, so you will need to clone it and build it;The Client SDK (and updated Cordova Plugin) is not yet available but to make this PR testable, we have adapted a Cordova App that Amazon use as sample to show ADM, this fork will register with UPS [2];;[1] https://github.com/aerogear/java-adm;",,,,AGPUSH-820: Add ADM support,False,7.0,,1.0,16.0
52,,,"ExtractionItemProcessor extracted, but there are no tests that can prove testability",irrelevant,irrelevant,23.0,,https://github.com/vitrivr/cineast/pull/53/files#diff-179573912c9840b90e0804599c07317fc55f0e876105df310f48b2d80f215ce6R10,,,https://github.com/vitrivr/cineast/pull/53,relevant,This massively improves testability.;;,,,,Generic Extraction,False,23.0,,0.0,27.0
53,,,grabLockAndRunOnce extracted,incl_ref_for_test,extract_method_for_invocation,14.0,,https://github.com/palantir/atlasdb/pull/3003/files#diff-ac806a9200a2f2b0f3d86739e9de2b7614130059b52c98260ef19e80df43c268R135,https://github.com/palantir/atlasdb/pull/3003/files#diff-398711278479cc5ff9ea07b8a059ac0d0669987b2c5eab2970028a6bd2f04eaaR65,,https://github.com/palantir/atlasdb/pull/3003,relevant,Goals (and why):;;Increase network timeout on compactions;Refactor BackgroundCompactor to make it more testable;;To-do:;; tests of CompactPriorityCalculator; tests of BackgroundCompactor; metrics on BackgroundCompactor; logs on CompactPriorityCalculator; fix metric reregistration warnings;;;;;This change is,,,,[Oracle Compaction][Part 3] Final refactors and tests,False,14.0,,2.0,14.0
54,,,priorityCalculator injected from junits,incl_ref_for_test,add_constructor_param,,,https://github.com/palantir/atlasdb/pull/3003/files#diff-ac806a9200a2f2b0f3d86739e9de2b7614130059b52c98260ef19e80df43c268R74,https://github.com/palantir/atlasdb/pull/3003/files#diff-398711278479cc5ff9ea07b8a059ac0d0669987b2c5eab2970028a6bd2f04eaaR51,,https://github.com/palantir/atlasdb/pull/3003,,,,,,,,,,,
55,,,PR adds exception for VisibleForTesting in sonar,irrelevant,irrelevant,4.0,,,,,https://github.com/SonarSource/sonar-java/pull/848,relevant,This annotation indicates that the visibility of a type or member has been purposely relaxed to make the code testable.;,,,,Adding support for Guava VisibleForTesting annotation,False,4.0,,0.0,11.0
