,url,comment,pr_group,ref_pattern,prod_file,prod_location,test_location,Coder
97,https://github.com/enonic/xp/pull/2259,,,,,,,
98,https://github.com/mybatis/mybatis-3/pull/1890,,,,,,,
99,https://github.com/rsocket/rsocket-java/pull/213,,,,,,,
100,https://github.com/GoogleCloudPlatform/cloud-opensource-java/pull/1414,,,,,,,
101,https://github.com/neo4j/neo4j-java-driver/pull/593,,,,,,,
102,https://github.com/magefree/mage/pull/1340,,,,,,,
103,https://github.com/palantir/atlasdb/pull/3145,,,,,,,
104,https://github.com/googleapis/google-cloud-java/pull/333,,,,,,,
105,https://github.com/Alluxio/alluxio/pull/4856,,,,,,,
106,https://github.com/dbeaver/dbeaver/pull/4958,,,,,,,
107,https://github.com/apache/nifi/pull/556,,,,,,,
108,https://github.com/pentaho/pentaho-platform/pull/1713,,,,,,,
109,https://github.com/grpc/grpc-java/pull/7592,,,,,,,
110,https://github.com/ibissource/iaf/pull/969,,,,,,,
111,https://github.com/find-sec-bugs/find-sec-bugs/pull/572,,,,,,,
112,https://github.com/confluentinc/ksql/pull/3297,,,,,,,
113,https://github.com/PegaSysEng/pantheon/pull/1174,,,,,,,
114,https://github.com/confluentinc/ksql/pull/444,,,,,,,
115,https://github.com/traccar/traccar/pull/4189,,,,,,,
116,https://github.com/ORCID/ORCID-Source/pull/1734,,,,,,,
117,https://github.com/SonarSource/sonar-java/pull/1091,,,,,,,
118,https://github.com/Sage-Bionetworks/Synapse-Repository-Services/pull/84,,,,,,,
119,https://github.com/HubSpot/Singularity/pull/673,,,,,,,
120,https://github.com/apache/incubator-heron/pull/3355,,,,,,,
121,https://github.com/apache/opennlp/pull/39,,,,,,,
122,https://github.com/apache/opennlp/pull/367,,,,,,,
123,https://github.com/azkaban/azkaban/pull/2195,,,,,,,
124,https://github.com/PegaSysEng/pantheon/pull/461,,,,,,,
125,https://github.com/GoogleContainerTools/jib/pull/407,,,,,,,
126,https://github.com/datastax/java-driver/pull/1469,,,,,,,
127,https://github.com/square/okio/pull/360,,,,,,,
128,https://github.com/hmcts/ethos-repl-docmosis-service/pull/140,,,,,,,
129,https://github.com/gstreamer-java/gst1-java-core/pull/106,,,,,,,
130,https://github.com/hierynomus/sshj/pull/266,,,,,,,
131,https://github.com/molgenis/molgenis/pull/695,,,,,,,
132,https://github.com/apache/calcite/pull/770,,,,,,,
133,https://github.com/cdapio/cdap/pull/160,,,,,,,
134,https://github.com/googleapis/gapic-generator/pull/3055,,,,,,,
135,https://github.com/pentaho/pentaho-kettle/pull/7,,,,,,,
136,https://github.com/GoogleCloudPlatform/google-cloud-eclipse/pull/2170,,,,,,,
137,https://github.com/k9mail/k-9/pull/2313,,,,,,,
138,https://github.com/pentaho/pentaho-platform/pull/1717,,,,,,,
139,https://github.com/Sage-Bionetworks/Synapse-Repository-Services/pull/4209,,,,,,,
140,https://github.com/broadinstitute/picard/pull/543,,,,,,,
141,https://github.com/twilio/twilio-java/pull/371,,,,,,,
142,https://github.com/apache/kafka/pull/1821,,,,,,,
143,https://github.com/zalando/zalenium/pull/728,,,,,,,
144,https://github.com/angular/clutz/pull/956,,,,,,,
145,https://github.com/enonic/xp/pull/4729,,,,,,,
146,https://github.com/querydsl/querydsl/pull/1970,,,,,,,
147,https://github.com/alissonwilker/fabriki-exercicios/pull/3284,,,,,,,
148,https://github.com/grpc/grpc-java/pull/2822,,,,,,,
149,https://github.com/broadinstitute/picard/pull/1359,,,,,,,
150,https://github.com/google/auto/pull/760,,,,,,,
151,https://github.com/apache/kafka/pull/5135,,,,,,,
152,https://github.com/neo4j-contrib/neo4j-graph-algorithms/pull/907,,,,,,,
153,https://github.com/molgenis/molgenis/pull/4571,,,,,,,
154,https://github.com/Yakindu/statecharts/pull/2072,,,,,,,
155,https://github.com/pentaho/pentaho-platform/pull/2640,,,,,,,
156,https://github.com/influxdata/influxdb-java/pull/351,,,,,,,
157,https://github.com/yegor256/cactoos/pull/1493,,,,,,,
