,testability_meaning,bodyComment,codeComment,pr_group,ref_pattern,java_files_count,prod_file,prod_location,test_location,url,title,is_title_testable,test_java_files_count,files_count,bodyTestableText
10,,IMPROVING TESTABILITY. Some functionality added and a few methods exposed,,incl_ref_for_test,extract_method_for_invocation,1.0,bootstrap/src/main/java/com/navercorp/pinpoint/bootstrap/PinpointBootStrap.java,https://github.com/pinpoint-apm/pinpoint/pull/315/files#diff-58ded53af51ed1b668192b9bbd1d968950031330401791f5a1dcf7fd61fcea0aR191,none,https://github.com/pinpoint-apm/pinpoint/pull/315,#88 support multiple classLoader,False,0.0,1.0,improving testability of PinpointBootStrap
11,,SEPARATELY TESTABLE. HELPS us not only with the TESTABILITY.,QuorumFutureFactory is testable but it is a new functionality in this PR,irrelevant,irrelevant,32.0,runtime/src/main/java/org/corfudb/runtime/view/QuorumFutureFactory.java,https://github.com/CorfuDB/CorfuDB/pull/438/files#diff-93e1b75542602c1f7f35aab17a4de454e43291d9c60c3729025703d73c76083eR22,,https://github.com/CorfuDB/CorfuDB/pull/438,Quorum replication is now feature complete. Please take a look.,False,7.0,33.0,"This helps us not only with the testability, but also we also keep the replication view readable.;;"
12,,MAKE the API business classes TESTABLE. APIBusiness now has a constructor and ExecutionBusiness extends it.,,only_ref_for_test,add_constructor_param,9.0,Portal/vip-api/src/main/java/fr/insalyon/creatis/vip/api/business/ApiBusiness.java,https://github.com/virtual-imaging-platform/VIP-portal/pull/52/files#diff-87f3fde508cc9579050e2ef8fc3b8335ac28e0bcf703d14c1992640fe1e7bf5fR68,https://github.com/virtual-imaging-platform/VIP-portal/pull/52/files#diff-13549f1d21288236ba0914311174d6101485912b667699d3ed832f85881808e3R70,https://github.com/virtual-imaging-platform/VIP-portal/pull/52,Feature/api test refactoring,False,1.0,10.0,"In order to make the API business classes testable, I made the following changes :;;Api business do not create dependencies on demand with ""new""."
13,,IMPROVES TESTABILITY of the Peer class,Wallet and other attributes injected from PeerBuilder but not used in junits,irrelevant,irrelevant,19.0,src/main/java/org/tron/peer/Peer.java,https://github.com/tronprotocol/java-tron/pull/44/files#diff-a7c0fcda6991b6dad541a3eb04c18cc741429a98deac011fb0544c2c25774cadR41,,https://github.com/tronprotocol/java-tron/pull/44,Refactor Peer class. Improve formatting and cleanup,False,2.0,19.0,Improves testability of the Peer class;;
14,,MAKE it more TESTABLE,,only_ref_for_test,extract_method_for_override,14.0,android/src/main/java/com/thebluealliance/androidclient/gcm/GCMMessageHandler.java,https://github.com/the-blue-alliance/the-blue-alliance-android/pull/947/files#diff-6d7db4fbee58307216dfb76c1a0a7360fc51f9cdb4f4d39bb884fe5169019830R96,https://github.com/the-blue-alliance/the-blue-alliance-android/pull/947/files#diff-69da81b7b7dda0db472be8e496c108c1eec149d3639dc6423a3fdca12cd922a3R17,https://github.com/the-blue-alliance/the-blue-alliance-android/pull/947,Improved Notification Unit Tests,False,13.0,14.0,Refactor some of the GCM message processing code to make it more testable
15,,REFACTOR code so that this part is TESTABLE. setCallbacks and createUploadWidget have been extracted and overriden/invoked in tests.,,incl_ref_for_test,extract_method_for_override,2.0,kie-wb-common-widgets/kie-wb-common-ui/src/main/java/org/kie/workbench/common/widgets/client/widget/AttachmentFileWidget.java,https://github.com/kiegroup/kie-wb-common/pull/358/files#diff-878f7679ddd849c89df6a9d6a26782f166f47ce704dfde6fd9a7fc3c0d7a82a9R131,https://github.com/kiegroup/kie-wb-common/pull/358/files#diff-f65c4f0f3a094f0adfc5b73423e14832393a27cbe6e05e352321345442384152R136,https://github.com/kiegroup/kie-wb-common/pull/358,Add tests for extension checking,False,1.0,2.0,... and also;;fix a small issue with extension checking;remove a bit of code duplication;refactor code so that this part is testable
16,,"MAKE the service more DECOUPLED, focused and TESTABLE.",DataAggregator extracted and tested separately,incl_ref_for_test,extract_class_for_invocation,10.0,dhis-2/dhis-services/dhis-service-analytics/src/main/java/org/hisp/dhis/analytics/data/handling/DataAggregator.java,https://github.com/dhis2/dhis2-core/pull/5871/files#diff-0fca0f957cf70d96cf874facf5a9179697cab21e229f5b5c59baf61b1a886013R78,https://github.com/dhis2/dhis2-core/pull/5871/files#diff-afbd072cd19c02d8f4d1dbda4b122c7c66fb3e7f7ba7d5f71bb76aae15558014R130,https://github.com/dhis2/dhis2-core/pull/5871,chore: Refactoring of DefaultAnalyticsService [DHIS2-9212],False,4.0,10.0,"The goal was to make the service more decoupled, focused and testable.;"
17,,but that WILL probably NEED some REFACTORING to be unit TESTABLE correctly. Future tense: testability refactoring is necessary,,irrelevant,irrelevant,3.0,,,,https://github.com/rollerderby/scoreboard/pull/90,Fix issues when Jam Clock is counting Up,False,1.0,3.0,Clean up the apis related to Rulesets slightly to reduce the reliance on statics and improve testability.;;;
18,,is now injected in a DI style in order to INCREASE TESTABILITY. likely BootupProcessExecutor extracted.,,incl_ref_for_test,extract_class_for_invocation,15.0,grakn-bootup/src/main/java/ai/grakn/bootup/StorageBootup.java,https://github.com/vaticle/typedb/pull/2833/files#diff-583df00fe094b41d46e4d66a3df7cc2de08bf606636dcf24de36a3248551fa1dR67,none,https://github.com/graknlabs/grakn/pull/2833,Bootup refactor + various bootup fixes,False,2.0,17.0,The BootupProcessExecutor is now injected in a DI style in order to increase testability.
19,,the Guice Stopwatch class to MAKE it TESTABLE. Strictly speaking it is rather new functionality than refactoring for testability.,,only_ref_for_test,add_constructor_param,4.0,core/src/com/google/inject/internal/util/ContinuousStopwatch.java,https://github.com/google/guice/pull/1373/files#diff-5021c8abdbe6c6d5355d2bd9eb0c320c1c1bb0c9eac833d816731dd8213c4fedR41,https://github.com/google/guice/pull/1373/files#diff-c35efd0102f7d0afa974f744c9312a81a97427c27c89c2384793ceac371291baR44,https://github.com/google/guice/pull/1373,MOE Sync 2020-07-31,False,1.0,4.0,Reapply f58167b;Rewrite the Guice Stopwatch class to make it testable.;
20,,"TESTABLE TIMESTAMP = timestamp to compare, not relevant for testability.",,irrelevant,irrelevant,3.0,,,,https://github.com/GoogleContainerTools/jib/pull/1571,add lasttimestamp to LayerEntry to ensure the timestamp can be controlled for key files,False,0.0,3.0,"I have a dockerized app using libraries relying on file lastModifiedDate to create a kind of ""testable timestamp"" to check if some caching should be invalidated or not.;"
21,,Miscellaneous TESTABILITY and build IMPROVEMENTS,assertCorrectOutput extracted,irrelevant,irrelevant,4.0,,,,https://github.com/antlr/antlr4/pull/2405,Testability and build improvements,True,3.0,17.0,Miscellaneous testability and build improvements.
22,,NOTHING TESTABLE,,irrelevant,irrelevant,13.0,,,,https://github.com/ISISComputingGroup/ibex_gui/pull/650,Ticket2905 journal viewer table,False,0.0,16.0,"Table displays journal data appropriately;;Unit tests;Nothing testable, just GUI code.;"
23,,This will help MAKE the framework code MORE TESTABLE going forward.,convert_static_method_to_instance,incl_ref_for_test,other,84.0,nifi-nar-bundles/nifi-framework-bundle/nifi-framework/nifi-authorizer/src/main/java/org/apache/nifi/authorization/AuthorizerFactoryBean.java,https://github.com/apache/nifi/pull/3119/files#diff-f876493b9516846fc37a470d57f6ebf67d7cdd1dc65d5f05e69aed560f71f892R212,https://github.com/apache/nifi/pull/3119/files#diff-0e63412a5af651a0a77cb85c6073a1b93642435956db12218dcd0944a7765130R68,https://github.com/apache/nifi/pull/3119,NIFI-5673 Support auto loading of new NARs,False,21.0,100.0,This will help make the framework code more testable going forward.;
24,,"ASPIRED..COULD DECOUPLE things to MAKE it TESTABLE. He wanted, but hasn't implemented.",,irrelevant,irrelevant,1.0,,,,https://github.com/getodk/collect/pull/3038,Remove check for Aggregate 0.9 legacy servers when adding media attachments,False,0.0,1.0,I aspired to write a test for this and spent some time thinking about how I could decouple things to make it testable
25,,"I did not add any unit tests yet, once you are happy with the current state of the code I WILL start the coverage and do small refactorings (for BETTER TESTABILITY) where applicable.",,irrelevant,irrelevant,53.0,,,,https://github.com/dhis2/dhis2-core/pull/4432,feat: Visualization entity replacing report table and chart [DHIS-7946],False,7.0,62.0,"I did not add any unit tests yet, once you are happy with the current state of the code I will start the coverage and do small refactorings (for better testability) where applicable.;;"
26,,TESTABLE USING the demo app.=can be QAed externally,,irrelevant,irrelevant,12.0,,,,https://github.com/novoda/download-manager/pull/318,Check for allowed networks,False,1.0,16.0,This is testable using the demo app.;
27,,REFACTOR SweepRunnerImpl to be MORE TESTABLE and add tests.,getStartTimestampsPerRowToSweep made package-private and invoked from junit. probably more patterns,only_ref_for_test,widen_access_for_invocation,10.0,atlasdb-impl-shared/src/main/java/com/palantir/atlasdb/sweep/SweepTaskRunnerImpl.java,https://github.com/palantir/atlasdb/pull/729/files#diff-6b95c96ac00ccd2901cfb23d5f6611c104d938721d45991fefb716d0ae057a09R190,https://github.com/palantir/atlasdb/pull/729/files#diff-0adc66f79c9d010dcb3563f1f83155fd66b3de9677fc273495637a6a789e7c4bR228,https://github.com/palantir/atlasdb/pull/729,Refactor/sweep runner 2,False,1.0,10.0,Refactor SweepRunnerImpl to be more testable and add tests.;;;
28,,NO other TESTABLE changes.,,irrelevant,irrelevant,7.0,,,,https://github.com/ISISComputingGroup/ibex_gui/pull/608,Ticket2149 nicos,False,1.0,7.0,No other testable changes.;
29,,Also MADE some tweaks to make things MORE TESTABLE,"higher level refactoring: EventFlusher changed to EventDispatcher, EventScheduler to ServiceScheduler. No obvious patterns",incl_ref_for_test,other,13.0,,,,https://github.com/optimizely/android-sdk/pull/1,Reworks and tests service scheduling layer,False,5.0,16.0,Also made some tweaks to make things more testable.;
30,,"While doing so, some minor CHANGES had to be done in order to FACILITATE TESTABILITY:",HueClient interface extracted,incl_ref_for_test,extract_class_for_override,10.0,extensions/binding/org.eclipse.smarthome.binding.hue/src/main/java/org/eclipse/smarthome/binding/hue/handler/HueLightHandler.java,https://github.com/eclipse-archived/smarthome/pull/5528/files#diff-d53ad8fedae86f352a4947d8b6f1d73b3a29b392f0c396cac3dd0001907df5b4R102,https://github.com/eclipse-archived/smarthome/pull/5528/files#diff-fc88a6c4e0a0ccccca1c8c49cb6706bb469bd660c6118c6f8da2c986f9872fabR351,https://github.com/eclipse-archived/smarthome/pull/5528,Converted Hue tests from Groovy to Java,False,6.0,16.0,"While doing so, some minor changes had to be done in order to facilitate testability:;;A HueClient interface was added which the HueBridgeHandler now implements;Two methods needed to be altered wrt their visibility;;"
31,,,getHueClient made protected from private to override in tests,incl_ref_for_test,widen_access_for_override,,extensions/binding/org.eclipse.smarthome.binding.hue/src/main/java/org/eclipse/smarthome/binding/hue/handler/HueLightHandler.java,https://github.com/eclipse-archived/smarthome/pull/5528/files#diff-d53ad8fedae86f352a4947d8b6f1d73b3a29b392f0c396cac3dd0001907df5b4R352,https://github.com/eclipse-archived/smarthome/pull/5528/files#diff-fc88a6c4e0a0ccccca1c8c49cb6706bb469bd660c6118c6f8da2c986f9872fabR351,https://github.com/eclipse-archived/smarthome/pull/5528,,,,,
32,,,toString made public from package,incl_ref_for_test,widen_access_for_invocation,,extensions/binding/org.eclipse.smarthome.binding.hue/src/main/java/org/eclipse/smarthome/binding/hue/handler/HueLightHandler.java,https://github.com/eclipse-archived/smarthome/pull/5528/files#diff-55e9a2862bad1080015e33700909e01ab27c7d367e402d695b54e568f9dc869fR30,https://github.com/eclipse-archived/smarthome/pull/5528/files#diff-fc88a6c4e0a0ccccca1c8c49cb6706bb469bd660c6118c6f8da2c986f9872fabR369,https://github.com/eclipse-archived/smarthome/pull/5528,,,,,
33,,this IMPROVES TESTABILITY of code,mostly new code added,irrelevant,irrelevant,37.0,,,,https://github.com/komoot/photon/pull/146,"much better, flexible tag filters. change from json search templates to java api",False,9.0,40.0,"Code is now a little more spread out into multiple classes instead of being in private methods in a handful of classes - IMO: this improves testability of code, makes it extensible, and also makes it less prone to bugs.;"
34,testability_no_testable_logic,There's no other TESTABLE LOGIC,,irrelevant,irrelevant,10.0,,,,https://github.com/ISISComputingGroup/ibex_gui/pull/819,Ticket3628 instrument updating for dae changes,False,0.0,11.0,There's no other testable logic in this PR (most of the infrastructure to do this was already in the code base).;
35,testability_no_testable_logic,There's no other TESTABLE LOGIC,Instrument has received no new tests because significant refactoring is necessary,irrelevant,irrelevant,15.0,,,,https://github.com/ISISComputingGroup/ibex_gui/pull/342,Ticket1109 setting instrument in instrument info receivers,False,6.0,21.0,I investigated adding unit tests for Instrument but it has too many static dependencies and would need significant refactoring to make it well testable.;
36,,Some modules don't have anything TESTABLE: means rather modules to be used by maven,,irrelevant,irrelevant,44.0,,,,https://github.com/hcoles/pitest/pull/129,Add skip option to maven,False,6.0,55.0,Some modules don't have anything testable: PIT maven plugin should provide an intuitive way to configure it to skip such modules.
37,,that's only TESTABLE after the merge: can be QAed after the merge.,,irrelevant,irrelevant,1.0,,,,https://github.com/ome/openmicroscopy/pull/465,Fix MRepoITest for JDK 5,False,1.0,1.0,"Test case:;;1st option: verify that OMERO-trunk-jdk5 job in hudson (http://hudson.openmicroscopy.org.uk/job/OMERO-trunk-JDK5/) doesn't fail (is not ""red"") - that's only testable after the merge.;"
38,,into a MORE UNIT-TESTABLE ConsoleOutputWriter class,Unsure: ConsoleOutputWriter created to test separately.,only_ref_for_test,extract_class_for_invocation,6.0,src/gwt/src/org/rstudio/studio/client/common/shell/ShellWidget.java,https://github.com/rstudio/rstudio/pull/1261/files#diff-7b12deac2a61e3a92d29c55be265600f3910eaac9d24db29a58132b6d6b00621R81,https://github.com/rstudio/rstudio/pull/1261/files#diff-d90a46134b1335938b1a1797eefa243acb2f42ac6e86f0b2515cd67980a044e4R76,https://github.com/rstudio/rstudio/pull/1261,unit testing for console behaviors,False,2.0,6.0,"In this PR I've ported them to be unit tests, by pulling out logic from ShellWidget into a more unit-testable ConsoleOutputWriter class."
39,,Add some MORE TESTS for commands that are now finally TESTABLE,I don't see any testability changes,irrelevant,irrelevant,32.0,,,,https://github.com/Catrobat/Paintroid/pull/523,PAINT-305: Remove observers,False,5.0,33.0,Add some more tests for commands that are now finally testable;Move FillTool algorithm out of the Command to a opaque interface;
40,,I expect that the future in-app media capture WILL BE TESTABLE by espresso: expectations in the future,only tests added,irrelevant,irrelevant,10.0,,,,https://github.com/signalapp/Signal-Android/pull/2733,created a set of basic espresso tests.,False,10.0,10.0,"Choosing media for attachments and group images also currently shouldn't work, however, I expect that the future in-app media capture will be testable by espresso.;"
41,,For now I CHANGED them to one that MAKES it obvious and TESTABLE,SpongeStatisticType now uses translation field. ,irrelevant,irrelevant,15.0,,,,https://github.com/SpongePowered/SpongeCommon/pull/1306,Fix some AbstractMethodErrors,False,0.0,15.0,(For now I changed them to one that makes it obvious and testable.);
42,,I took the long side-track to WORK on QuickCheck TESTABILITY,"test code added, but nothing obvious",irrelevant,irrelevant,38.0,,,,https://github.com/CorfuDB/CorfuDB/pull/214,Support for QuickCheck testing of layout & SMRMap/FGMap objects,False,3.0,48.0,I was working on the prototype/first draft of the Configuration Manager;when I took the long side-track to work on QuickCheck testability.;
43,,couple of REFACTORINGS to IMPROVE TESTABILITY of MessageBuilder,only_ref_for_test. MessageIdGenerator and Boundary Generator added,only_ref_for_test,add_constructor_param,29.0,k9mail/src/main/java/com/fsck/k9/message/MessageBuilder.java,https://github.com/k9mail/k-9/pull/1553/files#diff-21ecb71b8b44db2578ace93e27d9d30959d1bd769e5f9163bad2ddd2e4c07380R74,https://github.com/k9mail/k-9/pull/1553/files#diff-35f5b4f5c3b9390204fa4a6db9a294fab644575526002cb62bf3b520fc1b92c3R249,https://github.com/k9mail/k-9/pull/1553,MessageBuilder refactorings for tests,False,11.0,29.0,"couple of refactorings to improve testability of MessageBuilder:;;inject boundary generator;inject uuid generator (for message ids);make send date and hideTimezone builder parameters;;also adding a test with an attachment, and adding a check if writeTo output matches expected"
44,,,createMimeMultipart extracted,only_ref_for_test,extract_method_for_override,,k9mail/src/main/java/com/fsck/k9/message/MessageBuilder.java,https://github.com/k9mail/k-9/pull/1553/files#diff-21ecb71b8b44db2578ace93e27d9d30959d1bd769e5f9163bad2ddd2e4c07380R135,,https://github.com/k9mail/k-9/pull/1553,,,,,
45,,After the big filtering REFACTOR M2 filters will be UNIT-TESTABLE,promise of the future,irrelevant,irrelevant,1.0,,,,https://github.com/broadinstitute/gatk/pull/5578,Fixed edge case of zero-depth in FilterMutectCalls germline filter,False,0.0,1.0,After the big filtering refactor M2 filters will be unit-testable and these things will be easier to prevent.;
46,,MOVE to TESTABLE static Helper,"an enum extracted from code, but it's not an equal refactoring",irrelevant,irrelevant,11.0,debezium-core/src/main/java/io/debezium/jdbc/JdbcValueConverters.java,https://github.com/debezium/debezium/pull/1739/files#diff-13e851db29ad852088edfac3d7a5adcde903bf3110dc8b299ebb9a3d55c47467R145,,https://github.com/debezium/debezium/pull/1739,Conversion of float to double changes precision,False,1.0,11.0,The extending connectors should implement their own version of ProxyConverter (and ConverterHelper) to accomodate their needs (and remove their use of on-class private/protected methods and move to testable static Helper/Util methods).
47,,Currently it's not really UNIT TESTABLE,a lot of new code added and testability is not promised in description.,irrelevant,irrelevant,4.0,,,,https://github.com/wordpress-mobile/WordPress-FluxC-Android/pull/756,Activity Log store - Part 1 - API + models,False,1.0,11.0,Currently it's not really unit testable.
48,,The change also modifies ReadLastConfirmedOp to MAKE it TESTABLE.,getter created,incl_ref_for_test,widen_access_for_invocation,8.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,https://github.com/apache/bookkeeper/pull/2303/files#diff-885c97f6f2fa71d32d94c492046ac1a1b62e5488060096df899fd9754d395dd9R160,https://github.com/apache/bookkeeper/pull/2303/files#diff-2824c64a13c57f42fd58dbb382db0ba701e3d56850aaaae1f2e3062c2af0ce35R101,https://github.com/apache/bookkeeper/pull/2303,QuorumCoverage should only count unknown nodes,False,3.0,8.0,The change also modifies ReadLastConfirmedOp to make it testable.
49,,,"instead of using LedgerHandle, a few params introduced instead",incl_ref_for_test,add_constructor_param,,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,https://github.com/apache/bookkeeper/pull/2303/files#diff-885c97f6f2fa71d32d94c492046ac1a1b62e5488060096df899fd9754d395dd9R61,https://github.com/apache/bookkeeper/pull/2303/files#diff-2824c64a13c57f42fd58dbb382db0ba701e3d56850aaaae1f2e3062c2af0ce35R89,https://github.com/apache/bookkeeper/pull/2303,,,,,
50,,MAKE code a little MORE TESTABLE,DownloadListWorker class extracted,incl_ref_for_test,extract_class_for_invocation,2.0,src/main/java/net/rptools/maptool/client/ui/AddResourceDialog.java,https://github.com/RPTools/maptool/pull/1329/files#diff-050b224a4c721ac5dff2729e67f82929c9358ea1bc52b68b677805f0483b78a5R206,https://github.com/RPTools/maptool/pull/1329/files#diff-3fdcb617b15100e8548bf3446c8f5dd5dfd5a29caf6efaba8bbac5106009768cR37,https://github.com/RPTools/maptool/pull/1329,Shows the Artpacks in alphabetical order,False,1.0,4.0,"Also, refactors the AddResourceDialog a little to make code a little more testable.;"
51,,MADE the exception in case of queue failure TESTABLE by providing a PACKAGE-PRIVATE ctor.,FluxMergeSequential constructor made package-protected,incl_ref_for_test,widen_access_for_invocation,3.0,src/main/java/reactor/core/publisher/FluxMergeSequential.java,https://github.com/reactor/reactor-core/pull/302/files#diff-47b84e63bf07bddd64595da28cfc495fdd8e4d000941faf0888ac6e96ff18b5eR64,https://github.com/reactor/reactor-core/pull/302/files#diff-af7c61fb686210b93ffd6a20de3e26b3280b7d72dd80b5a88570d2ce022a88b9R628,https://github.com/reactor/reactor-core/pull/302,fix #301 flatMapSequential broken with more than prefetch src elements,False,1.0,3.0,Made the exception in case of queue failure testable by providing a package-private ctor.
52,,This change also contains some modifications to MAKE the app more TESTABLE and MOCKABLE,unusual one: added baseurl and mocked,incl_ref_for_test,add_constructor_param,15.0,app/src/main/java/fi/bitrite/android/ws/api/ServiceFactory.java,https://github.com/warmshowers/wsandroid/pull/312/files#diff-64bea36920c23679f5f771733b3bd06cdcd07326a3d7b24d0f57e5932cd00a35R31,https://github.com/warmshowers/wsandroid/pull/312/files#diff-e89d5ba3d2baa26dbfb42ee1bd6be1268cde7d02745550218ecb6def52712145R24,https://github.com/warmshowers/wsandroid/pull/312,Add the option to remember the user's password,False,7.0,23.0,This change also contains some modifications to make the app more;testable and mockable.;
53,,REFACTOR the code for leadership verification (and batching thereof) for comprehensibility and TESTABILITY,too large change to consider it RfT,irrelevant,irrelevant,10.0,leader-election-impl/src/main/java/com/palantir/leader/PaxosLeaderElectionService.java,https://github.com/palantir/atlasdb/pull/1959/files#diff-7dd3f3d03878211ff63baee595ca64888f1ad51596fd4755e1d6791188c922adL378,,https://github.com/palantir/atlasdb/pull/1959,Refactor and test leadership verification,False,3.0,11.0,Refactor the code for leadership verification (and batching thereof) for comprehensibility and testability.;
